Subject: img0015_mask.nii, Dice: 0.8058541873701328
Subject: img0042_mask.nii, Dice: 0.7776080011112655
Subject: img00101_mask.nii, Dice: 0.5681739730755955
Subject: img0052_mask.nii, Dice: 0.7492195629552549
Subject: img0035_mask.nii, Dice: 0.7827497376204561
Subject: img0062_mask.nii, Dice: 0.7495420047108087
Subject: img005_mask.nii, Dice: 0.5911582024113994
Subject: img0084_mask.nii, Dice: 0.7968948482709951
Subject: img0025_mask.nii, Dice: 0.7392217418159358
Subject: img0072_mask.nii, Dice: 0.4142800053283602
Subject: img0094_mask.nii, Dice: 0.7521677757612422
Subject: img00106_mask.nii, Dice: 0.7391880496325743
Subject: img0055_mask.nii, Dice: 0.7032604801146543
Subject: img0012_mask.nii, Dice: 0.6021786492374728
Subject: img0045_mask.nii, Dice: 0.7729985593743569
Subject: img0022_mask.nii, Dice: 0.7257691035395303
Subject: img0075_mask.nii, Dice: 0.6921624173748819
Subject: img0093_mask.nii, Dice: 0.6608964451313756
Subject: img0032_mask.nii, Dice: 0.5293625164454012
Subject: img0065_mask.nii, Dice: 0.8082445576655859
Subject: img0083_mask.nii, Dice: 0.6556665219279201
Subject: img002_mask.nii, Dice: 0.7084844938560562
Subject: img0034_mask.nii, Dice: 0.707543194268858
Subject: img0085_mask.nii, Dice: 0.7670353193007492
Subject: img004_mask.nii, Dice: 0.5821519632840387
Subject: img0063_mask.nii, Dice: 0.7439111747851003
Subject: img0024_mask.nii, Dice: 0.5320984722552046
Subject: img0095_mask.nii, Dice: 0.43191056910569103
Subject: img0073_mask.nii, Dice: 0.47258163894023414
Subject: img0014_mask.nii, Dice: 0.6807005130019459
Subject: img0043_mask.nii, Dice: 0.6643222506393862
Subject: img00100_mask.nii, Dice: 0.7640564826700899
Subject: img0053_mask.nii, Dice: 0.8225184145913714
Subject: img0023_mask.nii, Dice: 0.7906976744186046
Subject: img0092_mask.nii, Dice: 0.4145214521452145
Subject: img0074_mask.nii, Dice: 0.8488238197071887
Subject: img0033_mask.nii, Dice: 0.5309288345937561
Subject: img003_mask.nii, Dice: 0.5575853852263701
Subject: img0082_mask.nii, Dice: 0.5915068768195965
Subject: img0064_mask.nii, Dice: 0.7614025085518814
Subject: img00107_mask.nii, Dice: 0.7636738906088751
Subject: img00108_mask.nii, Dice: 0.7348373864635218
Subject: img0054_mask.nii, Dice: 0.618455497382199
Subject: img0013_mask.nii, Dice: 0.5164819346480495
Subject: img0044_mask.nii, Dice: 0.8143693107932379
Subject: img0058_mask.nii, Dice: 0.8259177804094062
Subject: img0057_mask.nii, Dice: 0.0
Subject: img00104_mask.nii, Dice: 0.7948575313678224
Subject: img0047_mask.nii, Dice: 0.8291424887169568
Subject: img0048_mask.nii, Dice: 0.3605832965090588
Subject: img0010_mask.nii, Dice: 0.7574542284219704
Subject: img0091_mask.nii, Dice: 0.7879165369043911
Subject: img0077_mask.nii, Dice: 0.8353006270748801
Subject: img0078_mask.nii, Dice: 0.7083969465648855
Subject: img0020_mask.nii, Dice: 0.7216966737870003
Subject: img000_mask.nii, Dice: 0.724280901788028
Subject: img0081_mask.nii, Dice: 0.8113445860603973
Subject: img0068_mask.nii, Dice: 0.7348816335689442
Subject: img0067_mask.nii, Dice: 0.679253665037761
Subject: img0030_mask.nii, Dice: 0.7933122696155871
Subject: img0040_mask.nii, Dice: 0.8232655502392344
Subject: img0018_mask.nii, Dice: 0.6859572457777253
Subject: img0017_mask.nii, Dice: 0.2726843100189036
Subject: img0050_mask.nii, Dice: 0.6469901263403758
Subject: img00103_mask.nii, Dice: 0.7015843917768757
Subject: img0086_mask.nii, Dice: 0.7908992416034669
Subject: img008_mask.nii, Dice: 0.7011166547873604
Subject: img0089_mask.nii, Dice: 0.47084367245657566
Subject: img007_mask.nii, Dice: 0.62
Subject: img0060_mask.nii, Dice: 0.7615094339622641
Subject: img0037_mask.nii, Dice: 0.7112462006079028
Subject: img0038_mask.nii, Dice: 0.7875770507349454
Subject: img0099_mask.nii, Dice: 0.7635327635327636
Subject: img0096_mask.nii, Dice: 0.7005699254712845
Subject: img0070_mask.nii, Dice: 0.7682000893255918
Subject: img0028_mask.nii, Dice: 0.7497496065245386
Subject: img0027_mask.nii, Dice: 0.8011348640802323
Subject: img0079_mask.nii, Dice: 0.7134394668641244
Subject: img0076_mask.nii, Dice: 0.6865203761755486
Subject: img0090_mask.nii, Dice: 0.7387212338332625
Subject: img0021_mask.nii, Dice: 0.8006531500884474
Subject: img0066_mask.nii, Dice: 0.7257863063472239
Subject: img0069_mask.nii, Dice: 0.7914288790782815
Subject: img0080_mask.nii, Dice: 0.798058622002284
Subject: img001_mask.nii, Dice: 0.5751128304319794
Subject: img0031_mask.nii, Dice: 0.8297872340425532
Subject: img0059_mask.nii, Dice: 0.49429657794676807
Subject: img00105_mask.nii, Dice: 0.7819444444444444
Subject: img0049_mask.nii, Dice: 0.6677559912854031
Subject: img0046_mask.nii, Dice: 0.8093372510610513
Subject: img0011_mask.nii, Dice: 0.6617561542934677
Subject: img0061_mask.nii, Dice: 0.7309946794120299
Subject: img006_mask.nii, Dice: 0.6864623243933589
Subject: img0088_mask.nii, Dice: 0.5704500978473581
Subject: img009_mask.nii, Dice: 0.4220946347257969
Subject: img0087_mask.nii, Dice: 0.7081960666866327
Subject: img0039_mask.nii, Dice: 0.664576802507837
Subject: img0036_mask.nii, Dice: 0.46813651464814254
Subject: img0071_mask.nii, Dice: 0.46435419208645634
Subject: img0097_mask.nii, Dice: 0.6990181268882175
Subject: img0098_mask.nii, Dice: 0.6866603338309133
Subject: img0026_mask.nii, Dice: 0.7493159732050193
Subject: img0029_mask.nii, Dice: 0.4914661731441497
Subject: img0041_mask.nii, Dice: 0.784320809248555
Subject: img0016_mask.nii, Dice: 0.8434656468416194
Subject: img0019_mask.nii, Dice: 0.8053226879574185
Subject: img0051_mask.nii, Dice: 0.7483811285846439
Subject: img00102_mask.nii, Dice: 0.7951254480286738
Final average all Dice: 0.6911339892516934
