Subject: img0024_mask.nii, Dice: 0.4775386629572048
Subject: img0095_mask.nii, Dice: 0.5106628242074928
Subject: img0073_mask.nii, Dice: 0.19307005598426388
Subject: img007_mask.nii, Dice: 0.6516290726817042
Subject: img0034_mask.nii, Dice: 0.4249482401656315
Subject: img008_mask.nii, Dice: 0.5770102536427415
Subject: img0085_mask.nii, Dice: 0.5457203183368524
Subject: img0063_mask.nii, Dice: 0.4498098230527534
Subject: img00104_mask.nii, Dice: 0.6701291956112445
Subject: img0053_mask.nii, Dice: 0.6150789708950035
Subject: img0014_mask.nii, Dice: 0.5666058394160584
Subject: img0043_mask.nii, Dice: 0.583987965903393
Subject: img0033_mask.nii, Dice: 0.13350515463917526
Subject: img000_mask.nii, Dice: 0.6573929727785106
Subject: img0082_mask.nii, Dice: 0.5036176864671729
Subject: img0064_mask.nii, Dice: 0.6118755423329615
Subject: img0023_mask.nii, Dice: 0.6292517006802721
Subject: img0092_mask.nii, Dice: 0.26875222182723074
Subject: img0074_mask.nii, Dice: 0.7025316455696202
Subject: img0013_mask.nii, Dice: 0.7043657241902286
Subject: img0044_mask.nii, Dice: 0.6488105425295225
Subject: img00103_mask.nii, Dice: 0.34886025768087214
Subject: img0054_mask.nii, Dice: 0.3149419218585005
Subject: img00105_mask.nii, Dice: 0.3022323983972524
Subject: img0052_mask.nii, Dice: 0.5350349145196244
Subject: img0015_mask.nii, Dice: 0.6745494421664918
Subject: img0042_mask.nii, Dice: 0.6578495105731151
Subject: img0025_mask.nii, Dice: 0.5877018358770184
Subject: img0072_mask.nii, Dice: 0.3924083769633508
Subject: img0094_mask.nii, Dice: 0.6079555323953448
Subject: img009_mask.nii, Dice: 0.4239280774550484
Subject: img0035_mask.nii, Dice: 0.6638362109632985
Subject: img006_mask.nii, Dice: 0.4669652855543113
Subject: img0062_mask.nii, Dice: 0.6565761172628057
Subject: img0084_mask.nii, Dice: 0.4260216847372811
Subject: img0012_mask.nii, Dice: 0.4416775884665793
Subject: img0045_mask.nii, Dice: 0.6072380106571936
Subject: img00102_mask.nii, Dice: 0.5075874883864974
Subject: img0055_mask.nii, Dice: 0.6434305854709222
Subject: img001_mask.nii, Dice: 0.443315799020497
Subject: img0032_mask.nii, Dice: 0.39099382641326713
Subject: img0065_mask.nii, Dice: 0.6882659871374833
Subject: img0083_mask.nii, Dice: 0.5297297297297298
Subject: img0022_mask.nii, Dice: 0.6477716574862293
Subject: img0075_mask.nii, Dice: 0.509212730318258
Subject: img0093_mask.nii, Dice: 0.40156639373442504
Subject: img0069_mask.nii, Dice: 0.46349557522123896
Subject: img0066_mask.nii, Dice: 0.5227325178859912
Subject: img0080_mask.nii, Dice: 0.5468465184104995
Subject: img002_mask.nii, Dice: 0.3994839819393679
Subject: img0031_mask.nii, Dice: 0.30905695611577966
Subject: img0076_mask.nii, Dice: 0.14245416078984485
Subject: img0079_mask.nii, Dice: 0.5868514340960361
Subject: img0090_mask.nii, Dice: 0.35481791814373187
Subject: img0021_mask.nii, Dice: 0.6369853828617407
Subject: img0046_mask.nii, Dice: 0.7028714107365793
Subject: img0049_mask.nii, Dice: 0.5473684210526316
Subject: img0011_mask.nii, Dice: 0.531953195319532
Subject: img0059_mask.nii, Dice: 0.2463149194103871
Subject: img00101_mask.nii, Dice: 0.5118898623279099
Subject: img0071_mask.nii, Dice: 0.4760166840458811
Subject: img0098_mask.nii, Dice: 0.5691548623269139
Subject: img0097_mask.nii, Dice: 0.439312567132116
Subject: img0029_mask.nii, Dice: 0.40296349837368994
Subject: img0026_mask.nii, Dice: 0.5656370656370656
Subject: img0061_mask.nii, Dice: 0.6585056986070071
Subject: img0087_mask.nii, Dice: 0.39391829155060354
Subject: img0088_mask.nii, Dice: 0.5467543608807549
Subject: img0036_mask.nii, Dice: 0.5851232195342527
Subject: img005_mask.nii, Dice: 0.39062925633342416
Subject: img0039_mask.nii, Dice: 0.5557967867998264
Subject: img0051_mask.nii, Dice: 0.2485460667278849
Subject: img00106_mask.nii, Dice: 0.6260117529659608
Subject: img0041_mask.nii, Dice: 0.6468809073724008
Subject: img0019_mask.nii, Dice: 0.6127981232894565
Subject: img0016_mask.nii, Dice: 0.7234536082474227
Subject: img0048_mask.nii, Dice: 0.2974468085106383
Subject: img0047_mask.nii, Dice: 0.6784710511523327
Subject: img0010_mask.nii, Dice: 0.6714258151649624
Subject: img0057_mask.nii, Dice: 0.05168986083499006
Subject: img0058_mask.nii, Dice: 0.6794321164399905
Subject: img00100_mask.nii, Dice: 0.5407725321888412
Subject: img0081_mask.nii, Dice: 0.71362793757101
Subject: img0067_mask.nii, Dice: 0.47845096814490945
Subject: img0068_mask.nii, Dice: 0.3258752303237694
Subject: img0030_mask.nii, Dice: 0.5879911814291272
Subject: img003_mask.nii, Dice: 0.4417385421951632
Subject: img0091_mask.nii, Dice: 0.5417207600613714
Subject: img0078_mask.nii, Dice: 0.500926354793886
Subject: img0077_mask.nii, Dice: 0.7371412333049162
