Subject: img0051_mask.nii, Dice: 0.7305588585017836
Subject: img0019_mask.nii, Dice: 0.8241206030150754
Subject: img0016_mask.nii, Dice: 0.8434607645875252
Subject: img0041_mask.nii, Dice: 0.776101860920666
Subject: img00102_mask.nii, Dice: 0.6801368228462334
Subject: img0029_mask.nii, Dice: 0.4227452808203216
Subject: img0026_mask.nii, Dice: 0.7850997620355116
Subject: img0098_mask.nii, Dice: 0.7260626229012253
Subject: img0097_mask.nii, Dice: 0.7537426773703624
Subject: img0071_mask.nii, Dice: 0.3859516616314199
Subject: img0036_mask.nii, Dice: 0.4686369119420989
Subject: img004_mask.nii, Dice: 0.48066298342541436
Subject: img0039_mask.nii, Dice: 0.5709030100334448
Subject: img0087_mask.nii, Dice: 0.7974174230373351
Subject: img0088_mask.nii, Dice: 0.5451851851851852
Subject: img0061_mask.nii, Dice: 0.7417317778015626
Subject: img0011_mask.nii, Dice: 0.6895127993393889
Subject: img0046_mask.nii, Dice: 0.8087846763540291
Subject: img0049_mask.nii, Dice: 0.6632034632034632
Subject: img0059_mask.nii, Dice: 0.2538593481989708
Subject: img0031_mask.nii, Dice: 0.8295090056748088
Subject: img003_mask.nii, Dice: 0.5036625410457186
Subject: img0080_mask.nii, Dice: 0.7992831541218638
Subject: img0069_mask.nii, Dice: 0.8110547095318669
Subject: img0066_mask.nii, Dice: 0.6532828282828282
Subject: img0021_mask.nii, Dice: 0.8078011016822987
Subject: img00105_mask.nii, Dice: 0.8011625090821022
Subject: img0090_mask.nii, Dice: 0.7329650092081031
Subject: img0076_mask.nii, Dice: 0.6190057965923064
Subject: img0079_mask.nii, Dice: 0.6779730281977933
Subject: img0027_mask.nii, Dice: 0.8099296536796536
Subject: img0028_mask.nii, Dice: 0.7704770477047704
Subject: img00103_mask.nii, Dice: 0.6622793897696679
Subject: img0070_mask.nii, Dice: 0.7202510258266956
Subject: img0096_mask.nii, Dice: 0.70732957457714
Subject: img0099_mask.nii, Dice: 0.7685473123056419
Subject: img0038_mask.nii, Dice: 0.575254104769351
Subject: img005_mask.nii, Dice: 0.5293748693288731
Subject: img0037_mask.nii, Dice: 0.7542129571838722
Subject: img0060_mask.nii, Dice: 0.7560820816585572
Subject: img0089_mask.nii, Dice: 0.45457484642741675
Subject: img0086_mask.nii, Dice: 0.7838917239849124
Subject: img0050_mask.nii, Dice: 0.7000781337202813
Subject: img0017_mask.nii, Dice: 0.23996175908221798
Subject: img0018_mask.nii, Dice: 0.6989988298010662
Subject: img0040_mask.nii, Dice: 0.8195225786832903
Subject: img002_mask.nii, Dice: 0.7618732782369146
Subject: img0030_mask.nii, Dice: 0.7850153760134191
Subject: img0067_mask.nii, Dice: 0.6652572233967583
Subject: img0068_mask.nii, Dice: 0.7546468401486989
Subject: img0081_mask.nii, Dice: 0.8005621267127299
Subject: img00104_mask.nii, Dice: 0.7365352765816495
Subject: img0020_mask.nii, Dice: 0.6219959266802444
Subject: img0078_mask.nii, Dice: 0.7011375387797312
Subject: img0077_mask.nii, Dice: 0.8196567570102222
Subject: img0091_mask.nii, Dice: 0.7938222270223566
Subject: img0010_mask.nii, Dice: 0.7674102812803104
Subject: img0048_mask.nii, Dice: 0.29739776951672864
Subject: img0047_mask.nii, Dice: 0.7929660934615759
Subject: img0057_mask.nii, Dice: 0.0
Subject: img0058_mask.nii, Dice: 0.828486714562664
Subject: img0044_mask.nii, Dice: 0.7582567245488594
Subject: img0013_mask.nii, Dice: 0.8028045574057844
Subject: img0054_mask.nii, Dice: 0.6952087538510571
Subject: img0064_mask.nii, Dice: 0.7442000602591142
Subject: img0082_mask.nii, Dice: 0.6622696060715576
Subject: img001_mask.nii, Dice: 0.541834451901566
Subject: img0033_mask.nii, Dice: 0.4414730381411662
Subject: img0074_mask.nii, Dice: 0.8499916569330886
Subject: img0092_mask.nii, Dice: 0.27172312223858613
Subject: img00107_mask.nii, Dice: 0.7639537742807967
Subject: img0023_mask.nii, Dice: 0.7939122649955237
Subject: img00108_mask.nii, Dice: 0.7647979956154087
Subject: img0053_mask.nii, Dice: 0.7702015445469956
Subject: img0043_mask.nii, Dice: 0.6681668686169292
Subject: img0014_mask.nii, Dice: 0.6360058007043713
Subject: img0073_mask.nii, Dice: 0.4624007473143391
Subject: img0095_mask.nii, Dice: 0.4022566995768688
Subject: img0024_mask.nii, Dice: 0.7523573200992556
Subject: img00100_mask.nii, Dice: 0.3784206411258796
Subject: img0063_mask.nii, Dice: 0.7424942263279446
Subject: img0085_mask.nii, Dice: 0.7768729641693811
Subject: img009_mask.nii, Dice: 0.6298419315615772
Subject: img006_mask.nii, Dice: 0.7157145278860824
Subject: img0034_mask.nii, Dice: 0.7707901405206173
Subject: img0083_mask.nii, Dice: 0.5724907063197026
Subject: img0065_mask.nii, Dice: 0.8004281636536632
Subject: img0032_mask.nii, Dice: 0.46513470681458
Subject: img000_mask.nii, Dice: 0.7103957075788062
Subject: img0093_mask.nii, Dice: 0.6445171849427168
Subject: img0075_mask.nii, Dice: 0.7705320600272851
Subject: img0022_mask.nii, Dice: 0.6626900584795322
Subject: img00106_mask.nii, Dice: 0.7463183506210782
Subject: img0045_mask.nii, Dice: 0.7865737808739709
Subject: img0012_mask.nii, Dice: 0.5922480620155038
Subject: img0055_mask.nii, Dice: 0.7170318021201414
Subject: img0094_mask.nii, Dice: 0.7628684557853057
Subject: img0072_mask.nii, Dice: 0.49291497975708504
Subject: img00101_mask.nii, Dice: 0.571327932370553
Subject: img0025_mask.nii, Dice: 0.7399660086285789
Subject: img0084_mask.nii, Dice: 0.71936
Subject: img0062_mask.nii, Dice: 0.7600173837461973
Subject: img0035_mask.nii, Dice: 0.7815342032423883
Subject: img007_mask.nii, Dice: 0.6944444444444444
Subject: img008_mask.nii, Dice: 0.6998168018843235
Subject: img0052_mask.nii, Dice: 0.8044810822236313
Subject: img0042_mask.nii, Dice: 0.8247203737788475
Subject: img0015_mask.nii, Dice: 0.8045234248788369
Final average all Dice: 0.6820690896014769
