Subject: img00106_mask.nii, Dice: 0.2842315369261477
Subject: img0051_mask.nii, Dice: 0.3130227001194743
Subject: img0041_mask.nii, Dice: 0.2368546845124283
Subject: img0016_mask.nii, Dice: 0.41642600549411846
Subject: img0019_mask.nii, Dice: 0.30327027423375863
Subject: img0071_mask.nii, Dice: 0.5290766989005167
Subject: img0097_mask.nii, Dice: 0.4649653979238754
Subject: img0098_mask.nii, Dice: 0.4649122807017544
Subject: img0026_mask.nii, Dice: 0.25705249841872235
Subject: img0029_mask.nii, Dice: 0.30705900289678306
Subject: img0061_mask.nii, Dice: 0.6495602939404891
Subject: img008_mask.nii, Dice: 0.6059291395516992
Subject: img0088_mask.nii, Dice: 0.5075448837977751
Subject: img0087_mask.nii, Dice: 0.5957230142566191
Subject: img007_mask.nii, Dice: 0.35267857142857145
Subject: img0039_mask.nii, Dice: 0.5786073223259153
Subject: img0036_mask.nii, Dice: 0.19047619047619047
Subject: img0049_mask.nii, Dice: 0.5818690716840305
Subject: img0046_mask.nii, Dice: 0.6302912621359223
Subject: img0011_mask.nii, Dice: 0.12806702573309395
Subject: img00101_mask.nii, Dice: 0.6397275119987614
Subject: img0059_mask.nii, Dice: 0.5180311274199672
Subject: img0066_mask.nii, Dice: 0.5285957653930397
Subject: img0069_mask.nii, Dice: 0.5488721804511278
Subject: img0080_mask.nii, Dice: 0.5804272013949433
Subject: img000_mask.nii, Dice: 0.5040736430007406
Subject: img0031_mask.nii, Dice: 0.34324009324009325
Subject: img0079_mask.nii, Dice: 0.45223913523053166
Subject: img0076_mask.nii, Dice: 0.49690812720848054
Subject: img0090_mask.nii, Dice: 0.3199566160520607
Subject: img0021_mask.nii, Dice: 0.5043190155011241
Subject: img0099_mask.nii, Dice: 0.45341227796821437
Subject: img0096_mask.nii, Dice: 0.6359719119055218
Subject: img0070_mask.nii, Dice: 0.37607361963190183
Subject: img0028_mask.nii, Dice: 0.48769679300291546
Subject: img0027_mask.nii, Dice: 0.12937062937062938
Subject: img0086_mask.nii, Dice: 0.5012507817385866
Subject: img006_mask.nii, Dice: 0.4133545310015898
Subject: img009_mask.nii, Dice: 0.27023832972227696
Subject: img0089_mask.nii, Dice: 0.49382373351839
Subject: img0060_mask.nii, Dice: 0.4238081310324656
Subject: img0037_mask.nii, Dice: 0.5532216190700968
Subject: img0038_mask.nii, Dice: 0.4839657595502747
Subject: img0050_mask.nii, Dice: 0.42527932960893855
Subject: img00108_mask.nii, Dice: 0.3256907701352146
Subject: img00107_mask.nii, Dice: 0.5154127481713688
Subject: img0040_mask.nii, Dice: 0.3148391950347941
Subject: img0018_mask.nii, Dice: 0.6358686685365451
Subject: img0017_mask.nii, Dice: 0.6632642849994996
Subject: img0081_mask.nii, Dice: 0.3358622103752307
Subject: img001_mask.nii, Dice: 0.6178414096916299
Subject: img0068_mask.nii, Dice: 0.3724091063540605
Subject: img0067_mask.nii, Dice: 0.3335109216835376
Subject: img0030_mask.nii, Dice: 0.45246206255806753
Subject: img0091_mask.nii, Dice: 0.22486033519553073
Subject: img0077_mask.nii, Dice: 0.3174233604967016
Subject: img0078_mask.nii, Dice: 0.13679769042860315
Subject: img0020_mask.nii, Dice: 0.503918661300572
Subject: img0047_mask.nii, Dice: 0.6066716085989622
Subject: img0048_mask.nii, Dice: 0.6102997694081476
Subject: img0010_mask.nii, Dice: 0.31365159128978226
Subject: img0058_mask.nii, Dice: 0.3335753176043557
Subject: img00100_mask.nii, Dice: 0.549662487945998
Subject: img0057_mask.nii, Dice: 0.5
Subject: img0013_mask.nii, Dice: 0.08857808857808858
Subject: img0044_mask.nii, Dice: 0.3484688489968321
Subject: img00103_mask.nii, Dice: 0.6403776728686476
Subject: img0054_mask.nii, Dice: 0.2281613462014353
Subject: img0033_mask.nii, Dice: 0.4603907637655417
Subject: img0082_mask.nii, Dice: 0.293631100082713
Subject: img002_mask.nii, Dice: 0.03911491791577445
Subject: img0064_mask.nii, Dice: 0.5819473599224931
Subject: img0023_mask.nii, Dice: 0.6534584027351626
Subject: img0092_mask.nii, Dice: 0.31791207700704577
Subject: img0074_mask.nii, Dice: 0.43180297148976043
Subject: img0053_mask.nii, Dice: 0.6013807753584706
Subject: img00104_mask.nii, Dice: 0.5806273317673069
Subject: img0014_mask.nii, Dice: 0.45809531262227093
Subject: img0043_mask.nii, Dice: 0.4709708503974946
Subject: img0024_mask.nii, Dice: 0.426669726876291
Subject: img0095_mask.nii, Dice: 0.2377344193976132
