Subject: img0025_mask.nii, Dice: 0.7365894635785432
Subject: img0072_mask.nii, Dice: 0.41718937675163487
Subject: img0094_mask.nii, Dice: 0.7222103234097237
Subject: img0035_mask.nii, Dice: 0.8015798382546548
Subject: img0062_mask.nii, Dice: 0.7674191976611986
Subject: img0084_mask.nii, Dice: 0.7812131919905771
Subject: img0052_mask.nii, Dice: 0.7832858499525166
Subject: img007_mask.nii, Dice: 0.6093163035311796
Subject: img008_mask.nii, Dice: 0.7091391733029958
Subject: img0015_mask.nii, Dice: 0.8073514320365706
Subject: img00101_mask.nii, Dice: 0.7342192691029901
Subject: img0042_mask.nii, Dice: 0.7996098104793757
Subject: img0032_mask.nii, Dice: 0.4992522432701894
Subject: img0065_mask.nii, Dice: 0.825692343495462
Subject: img0083_mask.nii, Dice: 0.5436067123611439
Subject: img0022_mask.nii, Dice: 0.7287234042553191
Subject: img0075_mask.nii, Dice: 0.7515856236786469
Subject: img0093_mask.nii, Dice: 0.6573736733724062
Subject: img0012_mask.nii, Dice: 0.6180555555555556
Subject: img00106_mask.nii, Dice: 0.7656131479140329
Subject: img0045_mask.nii, Dice: 0.7724677521674773
Subject: img0055_mask.nii, Dice: 0.7375369593618923
Subject: img000_mask.nii, Dice: 0.7409861128806218
Subject: img009_mask.nii, Dice: 0.6798045602605863
Subject: img0053_mask.nii, Dice: 0.7915263251196596
Subject: img006_mask.nii, Dice: 0.7009853890587836
Subject: img00100_mask.nii, Dice: 0.45444646098003627
Subject: img0014_mask.nii, Dice: 0.6827722772277228
Subject: img0043_mask.nii, Dice: 0.6608920014743827
Subject: img0024_mask.nii, Dice: 0.7313495980820759
Subject: img0095_mask.nii, Dice: 0.4295966344964118
Subject: img0073_mask.nii, Dice: 0.42413628403120524
Subject: img0034_mask.nii, Dice: 0.7678489175495163
Subject: img0085_mask.nii, Dice: 0.767515923566879
Subject: img0063_mask.nii, Dice: 0.7372605710155403
Subject: img00108_mask.nii, Dice: 0.7606333436820863
Subject: img00107_mask.nii, Dice: 0.7549212598425197
Subject: img0013_mask.nii, Dice: 0.8096929183204512
Subject: img0044_mask.nii, Dice: 0.8091852578246302
Subject: img0054_mask.nii, Dice: 0.7634854771784232
Subject: img001_mask.nii, Dice: 0.597770154373928
Subject: img0033_mask.nii, Dice: 0.5542256075444324
Subject: img0082_mask.nii, Dice: 0.687942626624832
Subject: img0064_mask.nii, Dice: 0.7479091995221028
Subject: img0023_mask.nii, Dice: 0.804553415061296
Subject: img0092_mask.nii, Dice: 0.2783882783882784
Subject: img0074_mask.nii, Dice: 0.8449716004009356
Subject: img0081_mask.nii, Dice: 0.8124239439068204
Subject: img0067_mask.nii, Dice: 0.6767123287671233
Subject: img0068_mask.nii, Dice: 0.7330064631156675
Subject: img0030_mask.nii, Dice: 0.8112903225806452
Subject: img0091_mask.nii, Dice: 0.7986917071112049
Subject: img0078_mask.nii, Dice: 0.6474321984997115
Subject: img0077_mask.nii, Dice: 0.8258827948910593
Subject: img0020_mask.nii, Dice: 0.7577388963660835
Subject: img0048_mask.nii, Dice: 0.38882421420256114
Subject: img0047_mask.nii, Dice: 0.8314733189533903
Subject: img00104_mask.nii, Dice: 0.7985909399913479
Subject: img0010_mask.nii, Dice: 0.7604848018468642
Subject: img0057_mask.nii, Dice: 0.0
Subject: img002_mask.nii, Dice: 0.7554103715802368
Subject: img0058_mask.nii, Dice: 0.8276956201484503
Subject: img0096_mask.nii, Dice: 0.7337038908539667
Subject: img0099_mask.nii, Dice: 0.7744820390520196
Subject: img0070_mask.nii, Dice: 0.7545350172215843
Subject: img0027_mask.nii, Dice: 0.7954004758128469
Subject: img0028_mask.nii, Dice: 0.7653374233128835
Subject: img0089_mask.nii, Dice: 0.4630764269590455
Subject: img0086_mask.nii, Dice: 0.7535898908673176
Subject: img0060_mask.nii, Dice: 0.7696545878364061
Subject: img0038_mask.nii, Dice: 0.5465800690075097
Subject: img0037_mask.nii, Dice: 0.7325142926651259
Subject: img0050_mask.nii, Dice: 0.7289601349926176
Subject: img005_mask.nii, Dice: 0.6033898305084746
Subject: img0040_mask.nii, Dice: 0.838981774363609
Subject: img00103_mask.nii, Dice: 0.6648118318933958
Subject: img0017_mask.nii, Dice: 0.34519337016574586
Subject: img0018_mask.nii, Dice: 0.7042324067117456
Subject: img0046_mask.nii, Dice: 0.8149143432986228
Subject: img0049_mask.nii, Dice: 0.6608695652173913
Subject: img0011_mask.nii, Dice: 0.6843634954466189
Subject: img00105_mask.nii, Dice: 0.7986814221803626
Subject: img0059_mask.nii, Dice: 0.24891558224891558
Subject: img003_mask.nii, Dice: 0.5534954924306855
Subject: img0069_mask.nii, Dice: 0.8268057250637968
Subject: img0066_mask.nii, Dice: 0.6813027744270205
Subject: img0080_mask.nii, Dice: 0.8150870406189555
Subject: img0031_mask.nii, Dice: 0.8095829195630586
Subject: img0076_mask.nii, Dice: 0.7425885755603759
