Subject: img0060_mask.nii, Dice: 0.7567460317460317
Subject: img0089_mask.nii, Dice: 0.5052405267401237
Subject: img0086_mask.nii, Dice: 0.7905112651646448
Subject: img0038_mask.nii, Dice: 0.7878075651854572
Subject: img0037_mask.nii, Dice: 0.7503261772031787
Subject: img0070_mask.nii, Dice: 0.6583672492219296
Subject: img008_mask.nii, Dice: 0.7146023147008126
Subject: img007_mask.nii, Dice: 0.7959079283887468
Subject: img0096_mask.nii, Dice: 0.5838206627680312
Subject: img0099_mask.nii, Dice: 0.737001667424587
Subject: img0027_mask.nii, Dice: 0.8100426338228328
Subject: img0028_mask.nii, Dice: 0.7386223862238622
Subject: img0040_mask.nii, Dice: 0.826007326007326
Subject: img0017_mask.nii, Dice: 0.32498366368982795
Subject: img00105_mask.nii, Dice: 0.7606019151846786
Subject: img0018_mask.nii, Dice: 0.7165277096615988
Subject: img0050_mask.nii, Dice: 0.6662998018930222
Subject: img0078_mask.nii, Dice: 0.6237221332676438
Subject: img000_mask.nii, Dice: 0.7430181283684468
Subject: img0077_mask.nii, Dice: 0.8012588212855235
Subject: img0091_mask.nii, Dice: 0.7110924546122364
Subject: img0020_mask.nii, Dice: 0.7155248716587006
Subject: img0067_mask.nii, Dice: 0.5379279480868203
Subject: img0068_mask.nii, Dice: 0.6224489795918368
Subject: img0081_mask.nii, Dice: 0.8091925182481752
Subject: img0030_mask.nii, Dice: 0.8072289156626506
Subject: img0057_mask.nii, Dice: 0.0792186652197504
Subject: img0058_mask.nii, Dice: 0.8258616805586844
Subject: img0048_mask.nii, Dice: 0.3409430339236185
Subject: img0047_mask.nii, Dice: 0.8092105263157895
Subject: img00102_mask.nii, Dice: 0.7743265713335551
Subject: img0010_mask.nii, Dice: 0.7402870813397129
Subject: img0041_mask.nii, Dice: 0.7967263037685572
Subject: img0019_mask.nii, Dice: 0.7948682953459806
Subject: img00104_mask.nii, Dice: 0.7337150127226463
Subject: img0016_mask.nii, Dice: 0.8644416975690152
Subject: img0051_mask.nii, Dice: 0.7808817110432126
Subject: img0087_mask.nii, Dice: 0.731533269045323
Subject: img0088_mask.nii, Dice: 0.5736245954692557
Subject: img0061_mask.nii, Dice: 0.671461897356143
Subject: img0036_mask.nii, Dice: 0.4453647658489965
Subject: img0039_mask.nii, Dice: 0.7098055910316446
Subject: img0098_mask.nii, Dice: 0.715076303873889
Subject: img0097_mask.nii, Dice: 0.6022136887282584
Subject: img006_mask.nii, Dice: 0.729083025533965
Subject: img009_mask.nii, Dice: 0.7111462450592886
Subject: img0071_mask.nii, Dice: 0.570478924308808
Subject: img0029_mask.nii, Dice: 0.5073839662447257
Subject: img0026_mask.nii, Dice: 0.600199844565338
Subject: img0059_mask.nii, Dice: 0.3183954873080539
Subject: img0046_mask.nii, Dice: 0.824212271973466
Subject: img0049_mask.nii, Dice: 0.5349626612355737
Subject: img0011_mask.nii, Dice: 0.6450984213603586
Subject: img00103_mask.nii, Dice: 0.5836117740652347
Subject: img0090_mask.nii, Dice: 0.7162314132200425
Subject: img0076_mask.nii, Dice: 0.5371679724823237
Subject: img001_mask.nii, Dice: 0.6037735849056604
Subject: img0079_mask.nii, Dice: 0.703541583764425
Subject: img0021_mask.nii, Dice: 0.8068019434124035
Subject: img0080_mask.nii, Dice: 0.7965449253591212
Subject: img0069_mask.nii, Dice: 0.7413063909774437
Subject: img0066_mask.nii, Dice: 0.44812912692589874
Subject: img0031_mask.nii, Dice: 0.7941685198912775
Subject: img0022_mask.nii, Dice: 0.7250241961501237
Subject: img0093_mask.nii, Dice: 0.5852743473503205
Subject: img0075_mask.nii, Dice: 0.7622950819672131
Subject: img002_mask.nii, Dice: 0.3256501182033097
Subject: img0032_mask.nii, Dice: 0.48069708338375894
Subject: img0083_mask.nii, Dice: 0.5916055962691539
Subject: img0065_mask.nii, Dice: 0.7685831128217464
Subject: img0055_mask.nii, Dice: 0.7329209621993127
Subject: img0012_mask.nii, Dice: 0.513413506012951
Subject: img00100_mask.nii, Dice: 0.4260185847033595
Subject: img0045_mask.nii, Dice: 0.7754541613857203
Subject: img0035_mask.nii, Dice: 0.7907491016308855
Subject: img0084_mask.nii, Dice: 0.7972747497219133
Subject: img0062_mask.nii, Dice: 0.8025210084033614
Subject: img0025_mask.nii, Dice: 0.7174248723126262
Subject: img0094_mask.nii, Dice: 0.6851815116048403
Subject: img005_mask.nii, Dice: 0.5041001294777729
Subject: img0072_mask.nii, Dice: 0.6117027367456773
Subject: img00107_mask.nii, Dice: 0.7252772643253235
Subject: img0015_mask.nii, Dice: 0.7950963222416813
Subject: img00108_mask.nii, Dice: 0.6955713843295138
Subject: img0042_mask.nii, Dice: 0.8157130409526576
Subject: img0052_mask.nii, Dice: 0.7881889763779527
Subject: img0054_mask.nii, Dice: 0.7367341229133638
Subject: img00101_mask.nii, Dice: 0.540754039497307
Subject: img0013_mask.nii, Dice: 0.5435667181142135
Subject: img0044_mask.nii, Dice: 0.7932756324900133
Subject: img0023_mask.nii, Dice: 0.8007005253940456
Subject: img003_mask.nii, Dice: 0.5087588520313082
Subject: img0074_mask.nii, Dice: 0.8507144030218426
Subject: img0092_mask.nii, Dice: 0.5772151898734177
Subject: img0033_mask.nii, Dice: 0.5388358964376095
Subject: img0064_mask.nii, Dice: 0.7261623872310895
Subject: img0082_mask.nii, Dice: 0.5736354273944387
Subject: img0014_mask.nii, Dice: 0.6583599932648594
Subject: img00106_mask.nii, Dice: 0.7137743909479275
Subject: img0043_mask.nii, Dice: 0.7109306021543351
Subject: img0053_mask.nii, Dice: 0.7822934232715009
Subject: img0034_mask.nii, Dice: 0.7911284426029734
Subject: img0063_mask.nii, Dice: 0.7242798353909465
Subject: img0085_mask.nii, Dice: 0.7213515163851008
Subject: img0024_mask.nii, Dice: 0.45621069898842614
Subject: img0073_mask.nii, Dice: 0.42407791793070415
Subject: img004_mask.nii, Dice: 0.6055429667073383
Subject: img0095_mask.nii, Dice: 0.47109330280480827
Final average all Dice: 0.6677941157621751
