Subject: img001_mask.nii, Dice: 0.5818425760286225
Subject: img0054_mask.nii, Dice: 0.7109907741676694
Subject: img0013_mask.nii, Dice: 0.4671860952951753
Subject: img00107_mask.nii, Dice: 0.7335623159960746
Subject: img00108_mask.nii, Dice: 0.7589175891758918
Subject: img0044_mask.nii, Dice: 0.8080360803608037
Subject: img0023_mask.nii, Dice: 0.8003636363636364
Subject: img0074_mask.nii, Dice: 0.8442794900758431
Subject: img0092_mask.nii, Dice: 0.3023097826086957
Subject: img0033_mask.nii, Dice: 0.436477007014809
Subject: img0064_mask.nii, Dice: 0.7217208182912154
Subject: img0082_mask.nii, Dice: 0.5996185887784804
Subject: img0014_mask.nii, Dice: 0.6132
Subject: img00100_mask.nii, Dice: 0.7446631549764348
Subject: img0043_mask.nii, Dice: 0.6809850027772635
Subject: img009_mask.nii, Dice: 0.3696072118480361
Subject: img006_mask.nii, Dice: 0.7047431478746102
Subject: img0053_mask.nii, Dice: 0.767128214349937
Subject: img0034_mask.nii, Dice: 0.7486631016042781
Subject: img0063_mask.nii, Dice: 0.7466758763598688
Subject: img0085_mask.nii, Dice: 0.7179383933964163
Subject: img0024_mask.nii, Dice: 0.46920875265441786
Subject: img0073_mask.nii, Dice: 0.47689011325374964
Subject: img0095_mask.nii, Dice: 0.41625615763546797
Subject: img0022_mask.nii, Dice: 0.6576048746191704
Subject: img0093_mask.nii, Dice: 0.6494713232938161
Subject: img0075_mask.nii, Dice: 0.7433628318584071
Subject: img0032_mask.nii, Dice: 0.5058559681036631
Subject: img0083_mask.nii, Dice: 0.47858565737051795
Subject: img0065_mask.nii, Dice: 0.7949697941067686
Subject: img000_mask.nii, Dice: 0.7138950384164605
Subject: img0055_mask.nii, Dice: 0.7766240344434595
Subject: img0012_mask.nii, Dice: 0.6293229420360448
Subject: img0045_mask.nii, Dice: 0.7473511742217368
Subject: img00106_mask.nii, Dice: 0.7388656716417911
Subject: img0035_mask.nii, Dice: 0.7767043886282087
Subject: img0084_mask.nii, Dice: 0.7524125452352232
Subject: img0062_mask.nii, Dice: 0.7337497889582981
Subject: img0025_mask.nii, Dice: 0.7451512274515123
Subject: img0094_mask.nii, Dice: 0.4846608499859274
Subject: img0072_mask.nii, Dice: 0.3649122807017544
Subject: img0015_mask.nii, Dice: 0.8161418413519254
Subject: img0042_mask.nii, Dice: 0.8203216947822676
Subject: img00101_mask.nii, Dice: 0.5440666204024983
Subject: img007_mask.nii, Dice: 0.6901279707495429
Subject: img008_mask.nii, Dice: 0.7067687747035574
Subject: img0052_mask.nii, Dice: 0.8000789421748569
Subject: img0041_mask.nii, Dice: 0.771047029223921
Subject: img00102_mask.nii, Dice: 0.7750451577045991
Subject: img0016_mask.nii, Dice: 0.8435391800726518
Subject: img0019_mask.nii, Dice: 0.7766249618553555
Subject: img0051_mask.nii, Dice: 0.766010465985547
Subject: img004_mask.nii, Dice: 0.44895088500761926
Subject: img0088_mask.nii, Dice: 0.6963906581740976
Subject: img0087_mask.nii, Dice: 0.7197508030760246
Subject: img0061_mask.nii, Dice: 0.7916625892944515
Subject: img0039_mask.nii, Dice: 0.27898402294141744
Subject: img0036_mask.nii, Dice: 0.4634072274521713
Subject: img0097_mask.nii, Dice: 0.7207617470503002
Subject: img0098_mask.nii, Dice: 0.6351102941176471
Subject: img0071_mask.nii, Dice: 0.5751449616047641
Subject: img0026_mask.nii, Dice: 0.7754279959718026
Subject: img0029_mask.nii, Dice: 0.5113554619258042
Subject: img0059_mask.nii, Dice: 0.28715524034672973
Subject: img003_mask.nii, Dice: 0.5838285611381235
Subject: img0049_mask.nii, Dice: 0.6599888703394546
Subject: img0046_mask.nii, Dice: 0.8077966101694916
Subject: img00105_mask.nii, Dice: 0.7368678231126313
Subject: img0011_mask.nii, Dice: 0.6019995745586045
Subject: img0090_mask.nii, Dice: 0.7291769955379276
Subject: img0079_mask.nii, Dice: 0.4638364779874214
Subject: img0076_mask.nii, Dice: 0.6980306345733042
Subject: img0021_mask.nii, Dice: 0.8153299792838118
Subject: img0080_mask.nii, Dice: 0.8144636549544525
Subject: img0066_mask.nii, Dice: 0.7472915685350918
Subject: img0069_mask.nii, Dice: 0.7881820347867524
Subject: img0031_mask.nii, Dice: 0.7266793581724231
Subject: img0060_mask.nii, Dice: 0.7715059362632785
Subject: img0086_mask.nii, Dice: 0.7538590403254757
Subject: img0089_mask.nii, Dice: 0.48540031397174255
Subject: img0037_mask.nii, Dice: 0.7330166270783848
Subject: img0038_mask.nii, Dice: 0.8059402893197907
Subject: img0070_mask.nii, Dice: 0.7036759189797449
Subject: img0099_mask.nii, Dice: 0.7600749765698219
Subject: img0096_mask.nii, Dice: 0.6285965297605974
Subject: img0028_mask.nii, Dice: 0.730832956770598
Subject: img0027_mask.nii, Dice: 0.7981976182813003
Subject: img00103_mask.nii, Dice: 0.6470674702337205
Subject: img0040_mask.nii, Dice: 0.8227886977886978
Subject: img0018_mask.nii, Dice: 0.6902847799427715
Subject: img0017_mask.nii, Dice: 0.26114039290848107
Subject: img0050_mask.nii, Dice: 0.6872661178231584
Subject: img005_mask.nii, Dice: 0.512009854239376
Subject: img0077_mask.nii, Dice: 0.7979727715393024
Subject: img0078_mask.nii, Dice: 0.7000928505106778
Subject: img0091_mask.nii, Dice: 0.7629736637404156
Subject: img0020_mask.nii, Dice: 0.6617484323127997
Subject: img0068_mask.nii, Dice: 0.6971243042671614
Subject: img0067_mask.nii, Dice: 0.6257976298997265
Subject: img0081_mask.nii, Dice: 0.815920969502039
Subject: img0030_mask.nii, Dice: 0.7669403088910532
Subject: img0058_mask.nii, Dice: 0.8254132231404959
Subject: img0057_mask.nii, Dice: 0.31322751322751324
Subject: img002_mask.nii, Dice: 0.7500524218913819
Subject: img00104_mask.nii, Dice: 0.7942324644251354
Subject: img0047_mask.nii, Dice: 0.8007253292613095
Subject: img0048_mask.nii, Dice: 0.36237765576509906
Subject: img0010_mask.nii, Dice: 0.7828587863100374
Final average all Dice: 0.6680669146853732
