Subject: img0051_mask.nii, Dice: 0.7458053691275168
Subject: img0019_mask.nii, Dice: 0.7967157417893544
Subject: img0016_mask.nii, Dice: 0.8331611570247934
Subject: img00105_mask.nii, Dice: 0.8075919335705812
Subject: img0041_mask.nii, Dice: 0.7990543735224587
Subject: img0029_mask.nii, Dice: 0.6188516925378718
Subject: img0026_mask.nii, Dice: 0.774657086871326
Subject: img0098_mask.nii, Dice: 0.6974622184203022
Subject: img0097_mask.nii, Dice: 0.7606610895735564
Subject: img0071_mask.nii, Dice: 0.3706070287539936
Subject: img0036_mask.nii, Dice: 0.7128571428571429
Subject: img0039_mask.nii, Dice: 0.7067625899280575
Subject: img0087_mask.nii, Dice: 0.829804341999464
Subject: img0088_mask.nii, Dice: 0.6610619469026549
Subject: img009_mask.nii, Dice: 0.6071076011846002
Subject: img0061_mask.nii, Dice: 0.7528854690736905
Subject: img006_mask.nii, Dice: 0.7354260089686099
Subject: img0011_mask.nii, Dice: 0.689243794496825
Subject: img00102_mask.nii, Dice: 0.8007771840954826
Subject: img0046_mask.nii, Dice: 0.8101099622517643
Subject: img0049_mask.nii, Dice: 0.6954285714285714
Subject: img0059_mask.nii, Dice: 0.3555056900144254
Subject: img0031_mask.nii, Dice: 0.8122368095120138
Subject: img0080_mask.nii, Dice: 0.8139998103006735
Subject: img001_mask.nii, Dice: 0.5626094570928196
Subject: img0069_mask.nii, Dice: 0.8033770273272606
Subject: img0066_mask.nii, Dice: 0.7052988144205178
Subject: img0021_mask.nii, Dice: 0.8112244897959183
Subject: img0090_mask.nii, Dice: 0.7351330942042665
Subject: img0076_mask.nii, Dice: 0.7104061895551257
Subject: img0079_mask.nii, Dice: 0.7179689037591025
Subject: img0027_mask.nii, Dice: 0.8118202339421301
Subject: img0028_mask.nii, Dice: 0.7632575757575758
Subject: img0070_mask.nii, Dice: 0.7488904461574398
Subject: img0096_mask.nii, Dice: 0.7072854550168525
Subject: img0099_mask.nii, Dice: 0.7586949830717143
Subject: img0038_mask.nii, Dice: 0.7811104020421187
Subject: img0037_mask.nii, Dice: 0.7355250245338567
Subject: img007_mask.nii, Dice: 0.6909492273730684
Subject: img0060_mask.nii, Dice: 0.7788027477919529
Subject: img008_mask.nii, Dice: 0.7060188168578425
Subject: img0089_mask.nii, Dice: 0.4737984496124031
Subject: img0086_mask.nii, Dice: 0.7798686115131945
Subject: img0050_mask.nii, Dice: 0.6961796317973822
Subject: img0017_mask.nii, Dice: 0.5037842033766737
Subject: img0018_mask.nii, Dice: 0.6588350465002447
Subject: img0040_mask.nii, Dice: 0.8297223069880989
Subject: img00104_mask.nii, Dice: 0.8050532573693336
Subject: img0030_mask.nii, Dice: 0.8043797569768995
Subject: img0067_mask.nii, Dice: 0.6397430013767783
Subject: img0068_mask.nii, Dice: 0.7694685530852455
Subject: img000_mask.nii, Dice: 0.7068716331625279
Subject: img0081_mask.nii, Dice: 0.8136720766186845
Subject: img0020_mask.nii, Dice: 0.7477124183006536
Subject: img0078_mask.nii, Dice: 0.7001590668080594
Subject: img0077_mask.nii, Dice: 0.8196962724344224
Subject: img0091_mask.nii, Dice: 0.7861090833246428
Subject: img0010_mask.nii, Dice: 0.763531669865643
Subject: img0048_mask.nii, Dice: 0.33204633204633205
Subject: img0047_mask.nii, Dice: 0.823429381199811
Subject: img00103_mask.nii, Dice: 0.6897551079553688
Subject: img0057_mask.nii, Dice: 0.0
Subject: img0058_mask.nii, Dice: 0.8291250070609502
Subject: img0044_mask.nii, Dice: 0.7961879284400601
Subject: img00100_mask.nii, Dice: 0.4901338971106413
Subject: img0013_mask.nii, Dice: 0.8050421963465442
Subject: img0054_mask.nii, Dice: 0.6773542838942563
Subject: img0064_mask.nii, Dice: 0.7547451800926618
Subject: img003_mask.nii, Dice: 0.5676304420073114
