Subject: img0019_mask.nii, Dice: 0.7694208494208494
Subject: img0016_mask.nii, Dice: 0.5687270180353703
Subject: img0041_mask.nii, Dice: 0.7482387838338895
Subject: img0051_mask.nii, Dice: 0.6030451332245785
Subject: img0036_mask.nii, Dice: 0.43444730077120824
Subject: img0039_mask.nii, Dice: 0.7139182623606745
Subject: img0061_mask.nii, Dice: 0.6786944398884698
Subject: img002_mask.nii, Dice: 0.6836397925506836
Subject: img0087_mask.nii, Dice: 0.6762767710049423
Subject: img0088_mask.nii, Dice: 0.5634956759217115
Subject: img0029_mask.nii, Dice: 0.572289156626506
Subject: img0026_mask.nii, Dice: 0.7647475642161204
Subject: img0071_mask.nii, Dice: 0.4408789675619114
Subject: img0098_mask.nii, Dice: 0.756059085042306
Subject: img0097_mask.nii, Dice: 0.6509851226377161
Subject: img00100_mask.nii, Dice: 0.7712898258912709
Subject: img0059_mask.nii, Dice: 0.0
Subject: img0011_mask.nii, Dice: 0.7066036083377124
Subject: img0046_mask.nii, Dice: 0.8046319272125724
Subject: img0049_mask.nii, Dice: 0.6724181679776706
Subject: img0021_mask.nii, Dice: 0.760354184518709
Subject: img0076_mask.nii, Dice: 0.6172148355493352
Subject: img0079_mask.nii, Dice: 0.4842105263157895
Subject: img0090_mask.nii, Dice: 0.758534222374195
Subject: img00107_mask.nii, Dice: 0.7183131959251362
Subject: img00108_mask.nii, Dice: 0.5895589558955896
Subject: img0031_mask.nii, Dice: 0.8054390934844192
Subject: img0069_mask.nii, Dice: 0.826592082616179
Subject: img005_mask.nii, Dice: 0.6007242233657328
Subject: img0066_mask.nii, Dice: 0.7615705198508445
Subject: img0080_mask.nii, Dice: 0.8225699383594121
Subject: img0038_mask.nii, Dice: 0.8036676699097082
Subject: img0037_mask.nii, Dice: 0.7520601066408144
Subject: img0089_mask.nii, Dice: 0.0
Subject: img0086_mask.nii, Dice: 0.5351681957186545
Subject: img003_mask.nii, Dice: 0.5670668953687822
Subject: img0060_mask.nii, Dice: 0.6937359722505612
Subject: img0027_mask.nii, Dice: 0.7950260730044123
Subject: img0028_mask.nii, Dice: 0.7500708415981865
Subject: img0096_mask.nii, Dice: 0.6592909228061353
Subject: img00101_mask.nii, Dice: 0.4429447852760736
Subject: img0099_mask.nii, Dice: 0.7109448082319925
Subject: img0070_mask.nii, Dice: 0.7160917077351617
Subject: img0017_mask.nii, Dice: 0.0
Subject: img0018_mask.nii, Dice: 0.5807560137457045
Subject: img0040_mask.nii, Dice: 0.7806152060359838
Subject: img0050_mask.nii, Dice: 0.6163535439795047
Subject: img0020_mask.nii, Dice: 0.69064505234718
Subject: img0091_mask.nii, Dice: 0.7296127815377788
Subject: img00106_mask.nii, Dice: 0.755695208169678
Subject: img0078_mask.nii, Dice: 0.4309205471031197
Subject: img0077_mask.nii, Dice: 0.8074115665356542
Subject: img0030_mask.nii, Dice: 0.7705732313062156
Subject: img0081_mask.nii, Dice: 0.7488872403560831
Subject: img0067_mask.nii, Dice: 0.596212583995113
Subject: img004_mask.nii, Dice: 0.0
Subject: img0068_mask.nii, Dice: 0.7058102476097082
Subject: img0057_mask.nii, Dice: 0.17876344086021506
Subject: img0058_mask.nii, Dice: 0.7849163662154973
Subject: img0010_mask.nii, Dice: 0.6712693559522636
