Subject: img0047_mask.nii, Dice: 0.7318365639380839
Subject: img0048_mask.nii, Dice: 0.7337548296452406
Subject: img0010_mask.nii, Dice: 0.5156363636363637
Subject: img0058_mask.nii, Dice: 0.5415959252971138
Subject: img0057_mask.nii, Dice: 0.5659340659340659
Subject: img001_mask.nii, Dice: 0.7397918334667735
Subject: img0081_mask.nii, Dice: 0.5261590020480358
Subject: img0068_mask.nii, Dice: 0.6513929618768328
Subject: img0067_mask.nii, Dice: 0.42183742183742184
Subject: img0030_mask.nii, Dice: 0.5031275496328529
Subject: img0091_mask.nii, Dice: 0.05639913232104121
Subject: img0077_mask.nii, Dice: 0.27631578947368424
Subject: img0078_mask.nii, Dice: 0.3519828510182208
Subject: img00108_mask.nii, Dice: 0.4357446808510638
Subject: img0020_mask.nii, Dice: 0.6605679435868115
Subject: img00107_mask.nii, Dice: 0.6792086418254643
Subject: img0050_mask.nii, Dice: 0.5916805324459234
Subject: img0040_mask.nii, Dice: 0.4635118738082857
Subject: img0018_mask.nii, Dice: 0.7149148561362302
Subject: img0017_mask.nii, Dice: 0.7604509627855931
Subject: img0099_mask.nii, Dice: 0.6022548879691737
Subject: img0096_mask.nii, Dice: 0.7216332940714566
Subject: img0070_mask.nii, Dice: 0.45882751609623856
Subject: img00100_mask.nii, Dice: 0.6705738705738705
Subject: img0028_mask.nii, Dice: 0.6208368915456874
Subject: img0027_mask.nii, Dice: 0.2377441946185035
Subject: img0086_mask.nii, Dice: 0.649112925936356
Subject: img009_mask.nii, Dice: 0.4132050721469174
Subject: img0089_mask.nii, Dice: 0.6236171854900951
Subject: img006_mask.nii, Dice: 0.5933014354066986
Subject: img0060_mask.nii, Dice: 0.5317627261253681
Subject: img0037_mask.nii, Dice: 0.7129629629629629
Subject: img0038_mask.nii, Dice: 0.6365166647963192
Subject: img0066_mask.nii, Dice: 0.6866194501561191
Subject: img0069_mask.nii, Dice: 0.6918673330304407
Subject: img0080_mask.nii, Dice: 0.6988702765874562
Subject: img000_mask.nii, Dice: 0.6612021857923497
Subject: img0031_mask.nii, Dice: 0.6399242693172406
Subject: img0079_mask.nii, Dice: 0.6004614304343465
Subject: img0076_mask.nii, Dice: 0.6299524564183835
Subject: img0090_mask.nii, Dice: 0.3106267029972752
Subject: img00106_mask.nii, Dice: 0.4249566724436742
Subject: img0021_mask.nii, Dice: 0.6806787082649152
Subject: img0049_mask.nii, Dice: 0.7235594456601021
Subject: img0046_mask.nii, Dice: 0.7090558766859345
Subject: img0011_mask.nii, Dice: 0.2565123010130246
Subject: img0059_mask.nii, Dice: 0.688921916085515
Subject: img0071_mask.nii, Dice: 0.709963286491961
Subject: img0097_mask.nii, Dice: 0.618168524949735
Subject: img0098_mask.nii, Dice: 0.5988974641675855
Subject: img0026_mask.nii, Dice: 0.41781224297967334
Subject: img0029_mask.nii, Dice: 0.3465527760829774
Subject: img00101_mask.nii, Dice: 0.715850144092219
Subject: img0061_mask.nii, Dice: 0.7235101209996607
Subject: img007_mask.nii, Dice: 0.4901623686723973
Subject: img0088_mask.nii, Dice: 0.6348461137193532
Subject: img008_mask.nii, Dice: 0.680403331871986
Subject: img0087_mask.nii, Dice: 0.7169993560849968
Subject: img0039_mask.nii, Dice: 0.595276609511485
Subject: img0036_mask.nii, Dice: 0.5630094043887147
Subject: img0051_mask.nii, Dice: 0.4122840690978887
Subject: img0041_mask.nii, Dice: 0.3557775847089487
Subject: img0016_mask.nii, Dice: 0.6591705069124424
Subject: img0019_mask.nii, Dice: 0.3891336270190896
Subject: img0052_mask.nii, Dice: 0.5770767613038906
Subject: img0015_mask.nii, Dice: 0.5261290762723427
Subject: img0042_mask.nii, Dice: 0.3333116078993678
Subject: img0025_mask.nii, Dice: 0.521684316691881
Subject: img00102_mask.nii, Dice: 0.2620414275018717
Subject: img0072_mask.nii, Dice: 0.7641665746161493
Subject: img0094_mask.nii, Dice: 0.5560371517027863
Subject: img0035_mask.nii, Dice: 0.6554842953461602
Subject: img0062_mask.nii, Dice: 0.6094325718496684
Subject: img004_mask.nii, Dice: 0.5637124381894256
Subject: img0084_mask.nii, Dice: 0.511875
Subject: img0012_mask.nii, Dice: 0.8466183574879227
Subject: img0045_mask.nii, Dice: 0.6288325471698113
Subject: img0055_mask.nii, Dice: 0.6876883839554834
Subject: img0032_mask.nii, Dice: 0.7044046223413164
Subject: img0065_mask.nii, Dice: 0.47062245491564864
Subject: img0083_mask.nii, Dice: 0.5817433595211373
Subject: img003_mask.nii, Dice: 0.681379007465964
Subject: img00105_mask.nii, Dice: 0.28202733678580527
Subject: img0022_mask.nii, Dice: 0.6107996459132488
Subject: img0075_mask.nii, Dice: 0.24748322147651006
Subject: img0093_mask.nii, Dice: 0.5101726263871763
Subject: img00103_mask.nii, Dice: 0.7447637603507062
Subject: img0024_mask.nii, Dice: 0.6412393162393163
Subject: img0095_mask.nii, Dice: 0.30666254762640305
Subject: img0073_mask.nii, Dice: 0.5419867549668874
Subject: img0034_mask.nii, Dice: 0.5837146618190936
Subject: img0085_mask.nii, Dice: 0.5291193181818182
Subject: img005_mask.nii, Dice: 0.7011861313868614
Subject: img0063_mask.nii, Dice: 0.5665357766143106
Subject: img0053_mask.nii, Dice: 0.6991052578666935
Subject: img0014_mask.nii, Dice: 0.6328304971390355
Subject: img0043_mask.nii, Dice: 0.6699287309860653
Subject: img0033_mask.nii, Dice: 0.6348441015750562
Subject: img002_mask.nii, Dice: 0.5727091633466136
Subject: img0082_mask.nii, Dice: 0.42614047791455467
Subject: img0064_mask.nii, Dice: 0.6966428679933161
Subject: img0023_mask.nii, Dice: 0.7640805965413295
Subject: img00104_mask.nii, Dice: 0.6733001658374793
Subject: img0092_mask.nii, Dice: 0.4600590623846438
Subject: img0074_mask.nii, Dice: 0.5267845781906095
Subject: img0013_mask.nii, Dice: 0.22309970384995065
Subject: img0044_mask.nii, Dice: 0.5209729936793718
Subject: img0054_mask.nii, Dice: 0.4820083682008368
Final average all Dice: 0.5662560887354368

