Subject: img0059_mask.nii, Dice: 0.709854214622383
Subject: img00101_mask.nii, Dice: 0.7554953327311051
Subject: img0011_mask.nii, Dice: 0.24877049180327868
Subject: img0049_mask.nii, Dice: 0.7543633276740238
Subject: img0046_mask.nii, Dice: 0.7158441558441558
Subject: img0021_mask.nii, Dice: 0.6944988040878451
Subject: img0079_mask.nii, Dice: 0.6208279041796131
Subject: img0076_mask.nii, Dice: 0.6593276980538628
Subject: img0090_mask.nii, Dice: 0.47761194029850745
Subject: img0031_mask.nii, Dice: 0.6097222222222223
Subject: img0066_mask.nii, Dice: 0.735198342214328
Subject: img0069_mask.nii, Dice: 0.7053737921681641
Subject: img0080_mask.nii, Dice: 0.729178688209271
Subject: img004_mask.nii, Dice: 0.5525202000769527
Subject: img0016_mask.nii, Dice: 0.5446339017051154
Subject: img00106_mask.nii, Dice: 0.48610312440099673
Subject: img0019_mask.nii, Dice: 0.5733041575492341
Subject: img0041_mask.nii, Dice: 0.3169373549883991
Subject: img0051_mask.nii, Dice: 0.43079256731133864
Subject: img0039_mask.nii, Dice: 0.6426512968299711
Subject: img0036_mask.nii, Dice: 0.7086363636363636
Subject: img0061_mask.nii, Dice: 0.746268656716418
Subject: img0088_mask.nii, Dice: 0.6746851027559428
Subject: img003_mask.nii, Dice: 0.7171763623821568
Subject: img0087_mask.nii, Dice: 0.632475719884137
Subject: img0026_mask.nii, Dice: 0.4159618820726623
Subject: img0029_mask.nii, Dice: 0.4273645167937358
Subject: img0071_mask.nii, Dice: 0.7176045431078988
Subject: img0097_mask.nii, Dice: 0.6499490316004077
Subject: img0098_mask.nii, Dice: 0.6498942917547569
Subject: img0020_mask.nii, Dice: 0.673676304919264
Subject: img0091_mask.nii, Dice: 0.0
Subject: img0077_mask.nii, Dice: 0.3932702418506835
Subject: img0078_mask.nii, Dice: 0.4241807449623448
Subject: img0030_mask.nii, Dice: 0.5682476742412689
Subject: img005_mask.nii, Dice: 0.6509099503663437
Subject: img0081_mask.nii, Dice: 0.5195429945880938
Subject: img0068_mask.nii, Dice: 0.6363963963963964
Subject: img0067_mask.nii, Dice: 0.453092425295344
Subject: img0058_mask.nii, Dice: 0.6811187240256094
Subject: img0057_mask.nii, Dice: 0.5941213258286429
Subject: img0010_mask.nii, Dice: 0.48093480934809346
Subject: img00100_mask.nii, Dice: 0.6571794871794872
Subject: img0047_mask.nii, Dice: 0.7239094422970734
Subject: img0048_mask.nii, Dice: 0.6778761061946903
Subject: img0037_mask.nii, Dice: 0.7246437552388936
Subject: img0038_mask.nii, Dice: 0.6635633655300827
Subject: img0086_mask.nii, Dice: 0.6462420766676727
Subject: img002_mask.nii, Dice: 0.5317467872441695
Subject: img0089_mask.nii, Dice: 0.6274866727343649
Subject: img0060_mask.nii, Dice: 0.6471309799645631
Subject: img0028_mask.nii, Dice: 0.6950663760649891
Subject: img0027_mask.nii, Dice: 0.49979140592407173
Subject: img0099_mask.nii, Dice: 0.6425495262704565
Subject: img0096_mask.nii, Dice: 0.7771608643457383
Subject: img0070_mask.nii, Dice: 0.571767497034401
Subject: img0018_mask.nii, Dice: 0.7374579493930087
Subject: img00107_mask.nii, Dice: 0.7031036056595162
Subject: img0017_mask.nii, Dice: 0.7699478001491424
Subject: img00108_mask.nii, Dice: 0.47735256054723607
Subject: img0040_mask.nii, Dice: 0.5150771388499299
Subject: img0050_mask.nii, Dice: 0.6359777995429318
Subject: img0043_mask.nii, Dice: 0.6566901408450704
Subject: img00104_mask.nii, Dice: 0.700074794315632
Subject: img0014_mask.nii, Dice: 0.6827261264848364
Subject: img0053_mask.nii, Dice: 0.7871444610778443
Subject: img0085_mask.nii, Dice: 0.5430416068866571
Subject: img001_mask.nii, Dice: 0.7511693171188026
Subject: img0063_mask.nii, Dice: 0.5945452470615086
Subject: img0034_mask.nii, Dice: 0.6620775969962454
Subject: img0095_mask.nii, Dice: 0.2696985721840296
Subject: img0073_mask.nii, Dice: 0.5794392523364486
Subject: img0024_mask.nii, Dice: 0.6279385171790235
Subject: img0054_mask.nii, Dice: 0.5011301989150091
Subject: img0044_mask.nii, Dice: 0.5121205948258301
Subject: img0013_mask.nii, Dice: 0.2183555100648243
Subject: img00103_mask.nii, Dice: 0.7194092827004219
Subject: img0092_mask.nii, Dice: 0.5175587130972539
