Subject: img0069_mask.nii, Dice: 0.7075743048897412
Subject: img0066_mask.nii, Dice: 0.6956916786552586
Subject: img0080_mask.nii, Dice: 0.7098896845364815
Subject: img0031_mask.nii, Dice: 0.641048622003137
Subject: img0076_mask.nii, Dice: 0.6544390243902439
Subject: img0079_mask.nii, Dice: 0.6039938556067588
Subject: img0090_mask.nii, Dice: 0.4350940017905103
Subject: img00105_mask.nii, Dice: 0.5829174390417795
Subject: img0021_mask.nii, Dice: 0.6863259065093927
Subject: img005_mask.nii, Dice: 0.6853211009174311
Subject: img0046_mask.nii, Dice: 0.7077673284569836
Subject: img0049_mask.nii, Dice: 0.7287351412911951
Subject: img0011_mask.nii, Dice: 0.2577522853557985
Subject: img0059_mask.nii, Dice: 0.6936834955852389
Subject: img0071_mask.nii, Dice: 0.7149128308039634
Subject: img0098_mask.nii, Dice: 0.5902061855670103
Subject: img0097_mask.nii, Dice: 0.6217336457019282
Subject: img00102_mask.nii, Dice: 0.512753433616743
Subject: img0029_mask.nii, Dice: 0.3713728886964054
Subject: img0026_mask.nii, Dice: 0.4122961398568579
Subject: img0061_mask.nii, Dice: 0.7154663518299882
Subject: img0087_mask.nii, Dice: 0.6450409071336299
Subject: img0088_mask.nii, Dice: 0.6857659286037053
Subject: img0036_mask.nii, Dice: 0.5927392739273928
Subject: img0039_mask.nii, Dice: 0.6643423137876386
Subject: img0051_mask.nii, Dice: 0.5007469375560203
Subject: img002_mask.nii, Dice: 0.6077675659650164
Subject: img0041_mask.nii, Dice: 0.38492741246797607
Subject: img0019_mask.nii, Dice: 0.6620765629303222
Subject: img0016_mask.nii, Dice: 0.7164160401002506
Subject: img0048_mask.nii, Dice: 0.7205703355938098
Subject: img0047_mask.nii, Dice: 0.7136764287745238
Subject: img004_mask.nii, Dice: 0.5445218028581899
Subject: img0010_mask.nii, Dice: 0.4890151515151515
Subject: img0057_mask.nii, Dice: 0.5848521668691778
Subject: img0058_mask.nii, Dice: 0.824219134890137
Subject: img0081_mask.nii, Dice: 0.5345048508145708
Subject: img0067_mask.nii, Dice: 0.4764933000227118
Subject: img0068_mask.nii, Dice: 0.6186216037110669
Subject: img0030_mask.nii, Dice: 0.572594259988745
Subject: img0091_mask.nii, Dice: 0.3001027749229188
Subject: img0078_mask.nii, Dice: 0.40948616600790516
Subject: img0077_mask.nii, Dice: 0.434282253179891
Subject: img0020_mask.nii, Dice: 0.6735545023696683
Subject: img00104_mask.nii, Dice: 0.6871274571972099
Subject: img0050_mask.nii, Dice: 0.6183574879227053
Subject: img0040_mask.nii, Dice: 0.46106346483704974
Subject: img003_mask.nii, Dice: 0.691410156684076
Subject: img0017_mask.nii, Dice: 0.785345415570496
Subject: img0018_mask.nii, Dice: 0.7251254797756126
Subject: img0096_mask.nii, Dice: 0.7808053284892522
Subject: img0099_mask.nii, Dice: 0.6058394160583942
Subject: img0070_mask.nii, Dice: 0.40309506263817246
Subject: img0027_mask.nii, Dice: 0.5254284911491992
Subject: img0028_mask.nii, Dice: 0.6668673489865543
Subject: img00103_mask.nii, Dice: 0.7254320987654321
Subject: img0089_mask.nii, Dice: 0.6095455699416096
Subject: img0086_mask.nii, Dice: 0.6477222791855867
Subject: img0060_mask.nii, Dice: 0.5792131844763424
Subject: img0038_mask.nii, Dice: 0.6563389907734366
Subject: img0037_mask.nii, Dice: 0.7197172539359538
Subject: img0024_mask.nii, Dice: 0.6427487535226534
Subject: img00100_mask.nii, Dice: 0.6539551661942798
