Subject: img0080_mask.nii, Dice: 0.7910193444923324
Subject: img00106_mask.nii, Dice: 0.724573671942093
Subject: img0066_mask.nii, Dice: 0.5091879075281565
Subject: img0069_mask.nii, Dice: 0.525771628402007
Subject: img0031_mask.nii, Dice: 0.7960386110066441
Subject: img001_mask.nii, Dice: 0.589018302828619
Subject: img0090_mask.nii, Dice: 0.686402081977879
Subject: img0079_mask.nii, Dice: 0.6367382346562568
Subject: img0076_mask.nii, Dice: 0.6224913494809688
Subject: img0021_mask.nii, Dice: 0.8192668371696504
Subject: img0049_mask.nii, Dice: 0.6961200792976494
Subject: img0046_mask.nii, Dice: 0.8081338143653657
Subject: img0011_mask.nii, Dice: 0.6310337683861612
Subject: img0059_mask.nii, Dice: 0.23677496172818507
Subject: img0097_mask.nii, Dice: 0.7315722198551342
Subject: img0098_mask.nii, Dice: 0.6754530477759473
Subject: img0071_mask.nii, Dice: 0.6405805350028457
Subject: img0026_mask.nii, Dice: 0.762070633768747
Subject: img0029_mask.nii, Dice: 0.5781069642170066
Subject: img0088_mask.nii, Dice: 0.48067226890756304
Subject: img0087_mask.nii, Dice: 0.7040723981900453
Subject: img0061_mask.nii, Dice: 0.791444988295382
Subject: img00101_mask.nii, Dice: 0.5705128205128205
Subject: img0039_mask.nii, Dice: 0.376595326919301
Subject: img0036_mask.nii, Dice: 0.44220183486238535
Subject: img009_mask.nii, Dice: 0.28097185470291075
Subject: img006_mask.nii, Dice: 0.6991680532445923
Subject: img0051_mask.nii, Dice: 0.7311827956989247
Subject: img0041_mask.nii, Dice: 0.7676730486008837
Subject: img0016_mask.nii, Dice: 0.8331011423794928
Subject: img0019_mask.nii, Dice: 0.8196766616001105
Subject: img0047_mask.nii, Dice: 0.8004231989997115
Subject: img0048_mask.nii, Dice: 0.3525954946131244
Subject: img0010_mask.nii, Dice: 0.7571557155715571
Subject: img0058_mask.nii, Dice: 0.8245463392294923
Subject: img0057_mask.nii, Dice: 0.0
Subject: img0068_mask.nii, Dice: 0.724644280022766
Subject: img00108_mask.nii, Dice: 0.7521421770866391
Subject: img0067_mask.nii, Dice: 0.6609498680738787
Subject: img00107_mask.nii, Dice: 0.7456393524909023
Subject: img0081_mask.nii, Dice: 0.8107890035156475
Subject: img000_mask.nii, Dice: 0.7382297551789078
Subject: img0030_mask.nii, Dice: 0.7874189543385295
Subject: img0077_mask.nii, Dice: 0.7978712920074899
Subject: img0078_mask.nii, Dice: 0.7062848454130766
Subject: img0091_mask.nii, Dice: 0.7880154639175257
Subject: img0020_mask.nii, Dice: 0.7337548296452406
Subject: img0050_mask.nii, Dice: 0.7054271896829661
Subject: img0040_mask.nii, Dice: 0.8177461740609059
Subject: img0018_mask.nii, Dice: 0.7101688460073632
Subject: img0017_mask.nii, Dice: 0.26556991774383076
Subject: img0070_mask.nii, Dice: 0.74812382739212
Subject: img0099_mask.nii, Dice: 0.7383059418457648
Subject: img0096_mask.nii, Dice: 0.7178988326848249
Subject: img0028_mask.nii, Dice: 0.759027266028003
Subject: img0027_mask.nii, Dice: 0.8015133468787221
Subject: img00100_mask.nii, Dice: 0.5200441338727473
Subject: img0060_mask.nii, Dice: 0.7858515955401768
Subject: img0086_mask.nii, Dice: 0.7534127843986999
Subject: img0089_mask.nii, Dice: 0.46094750320102434
Subject: img007_mask.nii, Dice: 0.6585809581564585
Subject: img008_mask.nii, Dice: 0.7355130249867092
Subject: img0037_mask.nii, Dice: 0.707444864140368
Subject: img0038_mask.nii, Dice: 0.7320422535211267
Subject: img0024_mask.nii, Dice: 0.7620923913043478
Subject: img0073_mask.nii, Dice: 0.27302127659574466
